request,classification
/tienda1/publico/anadir.jsp /id=3&nombre=Vino+Rioja&precio=100&cantidad=55&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=choong&pwd=d1se3ci%F3n&remember=off&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=2,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=2672&B1=Pasar+por+caja,0
/tienda1/publico/registro.jsp /modo=registro&login=cen&password=40a5E&nombre=Nurit&apellidos=Ferrandez+Caba%F1as&email=tarpey%40bwds.ne&dni=17621392B&direccion=Calle+Clavel+30+11%3FB&ciudad=Tronch%F3n&cp=17463&provincia=C%E1ceres&ntc=1527409541807001&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=de_la&password=roder%F3n&nombre=Franklin&apellidos=Canella&email=pockaj-bushman%40lecriture.md&dni=29283698Y&direccion=Calle+Palencia+S%2FN+&ciudad=Tirapu&cp=25320&provincia=Madrid&ntc=4789967077221120&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=3&nombre=Queso+Manchego&precio=100&cantidad=55&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=magrath&pwd=1an0re%E15354&remember=off&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=958&B1=Pasar+por+caja,0
/tienda1/publico/registro.jsp /modo=registro&login=francois&password=patay&nombre=Gina&apellidos=Rofes&email=brando%40elsentidodelavida.lc&dni=61877469V&direccion=Hoyo+Higueron+32+3-F&ciudad=Herrer%EDa&cp=08880&provincia=Sevilla&ntc=6691710338743371&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=misczak&password=prestamente&nombre=Daciano&apellidos=Fredes+Damas&email=mayworth%40sms24h.tr&dni=83835081N&direccion=Cami%F1o+Canexa+161+11%3FG&ciudad=Sencelles&cp=16842&provincia=Burgos&ntc=6343513594517926&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=1&nombre=Queso+Manchego&precio=39&cantidad=81&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=quinn&pwd=incisivo&remember=off&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=2,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=6429&B1=Pasar+por+caja,0
/tienda1/publico/registro.jsp /modo=registro&login=del&password=repulsivo&nombre=Clodoveo&apellidos=Amayuela+Romay&email=bjelic%40tradedeficit.dd&dni=00792659X&direccion=C%2F+Gregal+56%2C+12%3FG&ciudad=Anguciana&cp=26329&provincia=Zamora&ntc=8927148583279843&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=pacon&password=protoalb%E9itar&nombre=Fabiela&apellidos=Maurici+Garrudo&email=wilde%40casasdefamosos.zw&dni=25793872Q&direccion=C%2F+Arquitecto+Ricardo+Velazquez+Bosco%2C+127%2C+3G&ciudad=Ademuz&cp=27654&provincia=Asturias&ntc=2657051536857190&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=1&nombre=Vino+Rioja&precio=39&cantidad=25&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=aguistin&pwd=iNnota&remember=on&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=2,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=1499&B1=Confirmar,0
/tienda1/publico/registro.jsp /modo=registro&login=verde&password=er6%E1til&nombre=Jamil&apellidos=Men%E9ndez+Coyoma&email=hammong4%40asyra.st&dni=99745017C&direccion=Paseo+Francisco+Mir+Berlanga+141%2C+12-E&ciudad=Riudellots+de+la+Selva&cp=40352&provincia=%C1vila&ntc=9448799154735544&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=nathalia&password=97llAmi%2BenTo&nombre=Inocencia&apellidos=Salavedra+Castelltort&email=soldani-godet%40informex.ru&dni=54310177R&direccion=C%2F+Marroquina+16+10%3FC&ciudad=Villamuelas&cp=10858&provincia=A+Coru%F1a&ntc=6107572427974464&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=3&nombre=Jam%F3n+Ib%E9rico&precio=85&cantidad=19&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=shing-mi&pwd=d9s1a1i89&remember=on&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=620&B1=Confirmar,0
